id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,roi.times,roi.currency,roi.percentage
okb,okb,OKB,https://assets.coingecko.com/coins/images/4463/large/okb_token.png?1548386209,28.4,7466010185,28,,215220819,29.25,28.02,-0.706814824775,-2.42864,-178859662.13211727,-2.3396,262680011.32,300000000.0,,44.01,-35.21449,2021-05-03T01:03:16.108Z,0.580608,4810.20768,2019-01-14T00:00:00.000Z,,2022-01-04T08:36:49.398Z,-0.08848165206986713,-2.428636848959589,,,
fantom,ftm,Fantom,https://assets.coingecko.com/coins/images/4001/large/Fantom.png?1558015016,2.91,7388117867,29,9230958038.0,1829585747,2.94,2.42,0.475863,19.55179,1203304900.0,19.4558,2541152731.01,3175000000.0,3175000000.0,3.46,-16.17254,2021-10-28T05:19:39.845Z,0.00190227,152309.22604,2020-03-13T02:25:38.280Z,,2022-01-04T08:37:58.106Z,0.6071866785501706,19.55178548342809,95.99081629783447,usd,9599.081629783446
stellar,xlm,Stellar,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1552356157,0.284687,7047964577,30,14240536794.0,366513057,0.294713,0.280511,-0.006802701927,-2.33377,-163193664.5514593,-2.26307,24747025839.8768,50001802392.1399,50001802392.1399,0.875563,-67.44288,2018-01-03T00:00:00.000Z,0.00047612,59770.63375,2015-03-05T00:00:00.000Z,,2022-01-04T08:37:26.166Z,-0.02877440273250385,-2.3337730284513714,,,
axie-infinity,axs,Axie Infinity,https://assets.coingecko.com/coins/images/13029/large/axie_infinity_logo.png?1604471082,95.27,6469255337,31,25729474805.0,220837975,98.27,92.41,-1.359890021321,-1.40729,-106552294.25123978,-1.62037,67887081.02983594,270000000.0,270000000.0,164.9,-42.09493,2021-11-06T19:29:29.482Z,0.123718,77078.76118,2020-11-06T08:05:43.662Z,,2022-01-04T08:39:41.452Z,-0.11304198537326268,-1.407292630868478,,,
staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1608607546,3766.32,6246356309,32,6246356309.0,4123962,3836.79,3687.43,-39.913044163606,-1.04862,-1844866.17203331,-0.02953,1659650.12606738,1659650.12606738,1659650.12606738,4829.57,-22.00635,2021-11-10T14:40:47.256Z,482.9,680.03477,2020-12-22T04:08:21.854Z,,2022-01-04T08:38:51.729Z,0.4217584092308381,-1.048622943098538,,,
hedera-hashgraph,hbar,Hedera,https://assets.coingecko.com/coins/images/3688/large/hbar.png?1637045634,0.33027,6145808971,33,,146201152,0.334124,0.298796,0.01840962,5.90316,322707423.0,5.54185,18631599779.0,50000000000.0,,0.569229,-41.88024,2021-09-15T10:40:28.318Z,0.00986111,3254.94164,2020-01-02T17:30:24.852Z,,2022-01-04T08:38:57.923Z,-0.9405722251963533,5.9031580480814005,,,
vechain,vet,VeChain,https://assets.coingecko.com/coins/images/1167/large/VeChain-Logo-768x725.png?1547035194,0.085998,5733370141,34,,280904085,0.088722,0.084288,-0.000632631306,-0.73026,-59794280.2548399,-1.03215,66760741299.0,86712634466.0,,0.280991,-69.38906,2021-04-19T01:08:21.675Z,0.00191713,4386.59507,2020-03-13T02:29:59.652Z,,2022-01-04T08:37:56.472Z,0.24951638168043386,-0.7302621749369801,6.972955303297923,eth,697.2955303297922
internet-computer,icp,Internet Computer,https://assets.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1620703073,29.18,5580817574,35,13714228512.0,527257576,29.6,26.8,2.14,7.8997,408624869.0,7.90042,190940096.75,469213710.0,469213710.0,700.65,-95.83017,2021-05-10T16:05:53.653Z,21.04,38.84644,2021-12-20T12:59:41.703Z,,2022-01-04T08:39:34.245Z,0.16391340905978324,7.899697014348509,,,
ftx-token,ftt,FTX Token,https://assets.coingecko.com/coins/images/9026/large/F.png?1609051564,39.93,5549981014,36,13375110380.0,270829285,41.35,39.33,0.212457,0.53487,24950930.0,0.4516,138920527.11874422,334789863.185972,334789863.185972,84.18,-52.49957,2021-09-09T16:59:43.151Z,1.15,3377.98561,2019-09-06T00:00:00.000Z,,2022-01-04T08:37:38.750Z,-0.07462580094787549,0.5348745222900227,,,
compound-ether,ceth,cETH,https://assets.coingecko.com/coins/images/10643/large/ceth2.JPG?1581389598,75.67,5286339153,37,,147942,77.22,74.15,-0.958917622689,-1.25137,-75507690.17927074,-1.40824,69877193.2076219,69877193.2076219,,97.75,-22.52173,2021-11-21T12:39:57.508Z,1.89,3915.0516,2020-03-13T02:22:33.711Z,,2022-01-04T08:38:09.278Z,0.318219435174624,-1.2513672849182687,,,
