id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,roi.times,roi.currency,roi.percentage
crypto-com-chain,cro,Crypto.com Coin,https://assets.coingecko.com/coins/images/7310/large/cypto.png?1547043960,0.561282,14196881921,16,,185811024.0,0.568326,0.55105,0.00060108,0.10721,38264976.0,0.27026,25263013692.0,30263013692.0,,0.965407,-41.85318,2021-11-24T15:53:54.855Z,0.0121196,4531.78374,2019-02-08T00:00:00.000Z,,2021-12-31T08:14:18.669Z,0.27276463798975814,0.10720580516519887,,,
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1548822744,47233.0,12169937792,17,12169937792.0,335673998.0,47931.0,46860.0,82.65,0.17528,-20711667.40005684,-0.1699,258041.04976808,258041.04976808,258041.04976808,70643.0,-33.30332,2021-11-10T14:40:19.650Z,3139.17,1400.93041,2019-04-02T00:00:00.000Z,,2021-12-31T08:17:00.350Z,0.017245046596945587,0.1752832513608395,,,
algorand,algo,Algorand,https://assets.coingecko.com/coins/images/4380/large/download.png?1547039725,1.71,10856418028,18,17045350684.0,668164165.0,1.76,1.6,0.082271,5.06082,500304152.0,4.831,6369137385.0806,6813047142.2944,10000000000.0,3.56,-52.24441,2019-06-20T14:51:19.480Z,0.105336,1514.50813,2020-03-13T02:20:48.438Z,,2021-12-31T08:14:47.173Z,0.7825841835571405,5.060815250500442,-0.2883635292428742,usd,-28.836352924287418
litecoin,ltc,Litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1547033580,148.55,10276802252,19,12455003154.0,710704253.0,150.47,146.35,0.754766,0.51067,29020139.0,0.28318,69309608.2334713,84000000.0,84000000.0,410.26,-64.00048,2021-05-10T03:13:07.904Z,1.15,12755.68555,2015-01-14T00:00:00.000Z,,2021-12-31T08:15:14.784Z,0.2916468592776099,0.5106710699269777,,,
terrausd,ust,TerraUSD,https://assets.coingecko.com/coins/images/12681/large/UST.png?1601612407,1.0,10149377248,20,,151846514.0,1.01,0.996077,0.00067219,0.06696,6058291.0,0.05973,10111978826.5608,10111833682.1348,,1.09,-8.06804,2021-01-11T22:30:57.984Z,0.857992,16.99543,2021-05-19T13:14:26.898Z,,2021-12-31T08:16:23.399Z,0.5296172695169064,0.06695606862281607,,,
chainlink,link,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1547034700,19.97,9303158201,21,19920702248.0,816086168.0,20.42,19.74,-0.028503263896,-0.14251,-54241472.03399849,-0.57966,467009550.4397637,1000000000.0,1000000000.0,52.7,-62.36211,2021-05-10T00:13:57.214Z,0.148183,13284.70658,2017-11-29T00:00:00.000Z,,2021-12-31T08:16:48.356Z,0.26892740526171177,-0.14251309430580267,,,
near,near,Near,https://assets.coingecko.com/coins/images/10365/large/near_icon.png?1601359077,15.16,9109592321,22,15167088438.0,481712046.0,15.7,14.71,-0.064531425251,-0.42376,-80959789.44273376,-0.8809,600615758.125296,1000000000.0,1000000000.0,16.33,-7.07289,2021-12-27T00:04:43.973Z,0.526762,2780.83386,2020-11-04T16:09:15.137Z,,2021-12-31T08:15:41.962Z,-0.3336690269085147,-0.4237551498274024,,,
dai,dai,Dai,https://assets.coingecko.com/coins/images/9956/large/4943.png?1636636734,1.0,8960353675,23,8960353675.0,371153978.0,1.01,0.994667,-0.000235211318,-0.02343,-10418847.716856003,-0.11614,8924859274.95367,8924897233.19998,8924859274.95367,1.22,-17.85384,2020-03-13T03:02:50.373Z,0.903243,10.85661,2019-11-25T00:04:18.137Z,,2021-12-31T08:14:16.325Z,0.5411247933379216,-0.023432557664410495,,,
cosmos,atom,Cosmos,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1555657960,30.95,8786382752,24,,955070068.0,32.0,28.0,2.5,8.77933,650919273.0,8.00101,285075151.832375,,,44.42,-30.93864,2021-09-20T00:05:25.062Z,1.16,2544.42557,2020-03-13T02:27:44.591Z,,2021-12-31T08:16:03.726Z,1.2282593910142028,8.779334929381587,308.4884425757802,usd,30848.84425757802
uniswap,uni,Uniswap,https://assets.coingecko.com/coins/images/12504/large/uniswap-uni.png?1600306604,18.11,8184160585,25,18094433197.0,283951222.0,18.25,17.04,0.696308,3.99792,306329136.0,3.8885,452302677.592585,1000000000.0,1000000000.0,44.92,-59.92016,2021-05-03T05:25:04.822Z,1.03,1647.58262,2020-09-17T01:20:38.214Z,,2021-12-31T08:15:31.179Z,0.47250516966680184,3.9979182645756897,,,
