id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency
helium,hnt,Helium,https://assets.coingecko.com/coins/images/4284/large/Helium_HNT.png?1612620071,36.96,3701950462,49,8211062182.0,27178798.0,39.15,36.57,-1.483992334642,-3.86051,-195331882.9813013,-5.012,100539361.984279,223000000.0,223000000.0,54.88,-32.67929,2021-11-12T23:08:25.301Z,0.113248,32521.96684,2020-04-18T00:19:10.902Z,,2021-12-30T10:21:21.287Z,0.136045631032891
leo-token,leo,LEO Token,https://assets.coingecko.com/coins/images/8418/large/leo-token.png?1558326215,3.77,3539758254,50,,772207.0,3.77,3.63,0.08292,2.24812,72259768.0,2.08392,938830293.9,985239504.0,,3.95,-4.33518,2021-05-14T13:54:31.192Z,0.799859,371.84538,2019-12-24T15:14:35.376Z,,2021-12-30T10:23:59.073Z,0.11020762452831828
gala,gala,Gala,https://assets.coingecko.com/coins/images/12493/large/GALA-COINGECKO.png?1600233435,0.465287,3494299832,51,23164079684.0,633479679.0,0.480193,0.443746,-0.004452470624,-0.94786,-61276304.23514652,-1.72339,7542496572.319239,36456579887.0829,50000000000.0,0.824837,-43.56293,2021-11-26T01:03:48.731Z,0.00013475,345366.32837,2020-12-28T08:46:48.367Z,,2021-12-30T10:23:51.585Z,0.5241719271980997
the-graph,grt,The Graph,https://assets.coingecko.com/coins/images/13397/large/Graph_Token.png?1608145566,0.641909,3357039996,52,6389685829.0,114459990.0,0.670943,0.618835,-0.02650056511,-3.96472,-185743680.04162025,-5.24287,5253842029.0,10000000000.0,10000000000.0,2.84,-77.40945,2021-02-12T07:28:45.775Z,0.103254,521.68009,2020-12-17T21:28:41.332Z,,2021-12-30T10:22:01.931Z,0.3304403982799546
klay-token,klay,Klaytn,https://assets.coingecko.com/coins/images/9672/large/CjbT82vP_400x400.jpg?1570548320,1.28,3245386862,53,,33452698.0,1.31,1.25,-0.034226341856,-2.61257,-114159244.02731276,-3.39806,2557651476.8,,,4.34,-70.62023,2021-03-30T03:44:28.828Z,0.06044,2009.15184,2020-04-29T08:19:34.574Z,,2021-12-30T10:22:03.848Z,1.660625644765614
compound-usd-coin,cusdc,cUSDC,https://assets.coingecko.com/coins/images/9442/large/Compound_USDC.png?1567581577,0.02247558,3212232369,54,,39594671.0,0.02274158,0.02211658,0.0001009,0.45098,-18222535.8745327,-0.56409,143047688760.676,143047688760.676,,0.058843,-61.81244,2020-10-21T11:24:27.820Z,0.00620705,262.02142,2021-03-04T08:11:37.438Z,,2021-12-30T10:23:51.013Z,0.017069782262686784
aave,aave,Aave,https://assets.coingecko.com/coins/images/12645/large/AAVE.png?1601374110,240.02,3212196718,55,3820611535.0,351743646.0,251.52,232.94,-9.154622774823,-3.67391,-163436914.89728212,-4.84167,13452073.581854168,16000000.0,16000000.0,661.69,-63.69746,2021-05-18T21:19:59.514Z,26.02,823.06391,2020-11-05T09:20:11.928Z,,2021-12-30T10:23:14.875Z,-0.29643345272979255
pancakeswap-token,cake,PancakeSwap,https://assets.coingecko.com/coins/images/12632/large/pancakeswap-cake-logo_%281%29.png?1629359065,12.05,3047215660,56,,108931606.0,12.2,11.68,-0.059006656276,-0.48717,-38502831.54316902,-1.24778,253754474.343135,,,43.96,-72.58695,2021-04-30T10:08:22.934Z,0.194441,6098.31569,2020-11-03T14:29:34.165Z,,2021-12-30T10:23:17.516Z,-0.10350387874853899
eos,eos,EOS,https://assets.coingecko.com/coins/images/738/large/eos-eos-logo.png?1547034481,3.06,2984644076,57,,618442506.0,3.19,3.0,-0.135812351284,-4.25141,-169205348.4790535,-5.36504,979094413.5855,,,22.71,-86.51586,2018-04-29T07:50:33.540Z,0.5024,509.55809,2017-10-23T00:00:00.000Z,"{'times': 2.08960498544419, 'currency': 'usd', 'percentage': 208.96049854441898}",2021-12-30T10:23:19.744Z,0.13039457040315233
arweave,ar,Arweave,https://assets.coingecko.com/coins/images/4343/large/oRt6SiEN_400x400.jpg?1591059616,55.94,2770848691,58,3649600494.0,59460413.0,58.05,52.99,0.506388,0.91348,-29652598.76129818,-1.05883,50108502.0,64598643.0,66000000.0,89.24,-37.55395,2021-11-05T04:14:42.689Z,0.298788,18549.96797,2020-01-31T06:47:36.543Z,"{'times': 74.59696187306493, 'currency': 'usd', 'percentage': 7459.696187306493}",2021-12-30T10:22:31.245Z,0.5945456535594235
flow,flow,Flow,https://assets.coingecko.com/coins/images/13446/large/5f6294c0c7a8cda55cb1c936_Flow_Wordmark.png?1631696776,8.69,2750906229,59,,45586615.0,8.91,8.6,-0.06676361698,-0.76214,-26615673.66993475,-0.95825,316835587.0,1393082413.50733,,42.4,-79.46422,2021-04-05T13:49:10.098Z,4.95,75.89063,2021-01-27T15:34:04.000Z,,2021-12-30T10:23:32.378Z,-0.16274504711664337
bittorrent-2,btt,BitTorrent,https://assets.coingecko.com/coins/images/7595/large/BTT_Token_Graphic.png?1555066995,0.0027987,2601085349,60,,455036768.0,0.0029048,0.00266991,-8.8906287e-05,-3.07889,-111953388.03817129,-4.12649,932497500000.0,990000000000.0,,0.01356626,-79.32743,2021-04-05T04:09:06.433Z,0.00013814,1930.14086,2020-03-13T02:22:57.629Z,"{'times': 22.322492406368525, 'currency': 'usd', 'percentage': 2232.2492406368524}",2021-12-30T10:22:58.827Z,-0.22412999026743624
