id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,roi.times,roi.currency,roi.percentage
zcash,zec,Zcash,https://assets.coingecko.com/coins/images/486/large/circle-zcash-color.png?1547034197,140.12,1684174944,81,2941659465.0,183253213,141.93,135.31,-0.286750258732,-0.20423,-11810654.54019785,-0.69639,12023034.6975468,21000000.0,21000000.0,3191.93,-95.61005,2016-10-29T00:00:00.000Z,19.75,609.35831,2020-03-13T02:20:55.002Z,,2022-01-18T01:22:13.267Z,-0.1493554001231865,-0.2042329961002381,,,
huobi-btc,hbtc,Huobi BTC,https://assets.coingecko.com/coins/images/12407/large/Unknown-5.png?1599624896,42192.0,1682363317,82,1682363317.0,2401345,43331.0,41571.0,-1057.613088803912,-2.44539,-42286289.18305278,-2.45188,39884.082204742,39884.082204742,39884.082204742,69325.0,-39.14132,2021-05-10T02:33:06.038Z,11209.02,276.39613,2020-10-12T03:56:16.768Z,,2022-01-18T01:22:52.602Z,-0.7379333837935401,-2.445391741917518,,,
kucoin-shares,kcs,KuCoin Token,https://assets.coingecko.com/coins/images/1047/large/sa9z79.png?1610678720,20.94,1606551703,83,,13855892,21.25,20.44,-0.040025991778,-0.19081,-3449951.4433054924,-0.21428,76729977.0,166729977.0,,28.83,-27.03776,2021-12-01T15:09:35.541Z,0.342863,6035.08272,2019-02-07T00:00:00.000Z,,2022-01-18T01:22:16.411Z,0.043283052019137,-0.19081429734298203,,,
loopring,lrc,Loopring,https://assets.coingecko.com/coins/images/913/large/LRC.png?1572852344,1.24,1538818707,86,1697545889.0,358080729,1.36,1.19,-0.115755421149,-8.56859,-141867905.20786214,-8.44107,1245991468.94246,1373873440.44246,1374513896.0,3.75,-67.04669,2021-11-10T14:59:53.164Z,0.01963893,6192.07722,2019-12-18T13:14:41.553Z,,2022-01-18T01:23:06.456Z,0.13074008815237773,-8.568587520391977,19.586204421400417,usd,1958.6204421400416
huobi-token,ht,Huobi Token,https://assets.coingecko.com/coins/images/2822/large/huobi-token-logo.png?1547036992,9.86,1538108564,84,4906506299.0,59722012,10.02,9.7,-0.149047038363,-1.48926,-28722447.486956596,-1.83316,156741729.25441208,500000000.0,500000000.0,39.66,-75.20356,2021-05-12T14:42:21.586Z,0.90862,982.35116,2019-01-30T00:00:00.000Z,,2022-01-18T01:23:09.975Z,0.05690105073437945,-1.4892629806686728,8.95864681562667,usd,895.8646815626671
basic-attention-token,bat,Basic Attention Token,https://assets.coingecko.com/coins/images/677/large/basic-attention-token.png?1547034427,1.03,1538091162,85,1543603541.0,95696636,1.05,1.0,-0.019850878485,-1.89191,-32104697.045973778,-2.04463,1494643334.4473505,1500000000.0,1500000000.0,1.9,-45.87346,2021-11-28T00:23:51.354Z,0.072394,1320.98507,2017-07-16T00:00:00.000Z,,2022-01-18T01:22:48.329Z,0.45476290997286106,-1.891910613010618,1.0342585590338695,eth,103.42585590338695
pocket-network,pokt,Pocket Network,https://assets.coingecko.com/coins/images/22506/large/33689860.png?1641957673,2.29,1500790350,87,,10267871,2.62,2.16,-0.262519118678,-10.28874,-171055101.83963275,-10.23151,655653767.200828,834282508.20223,,3.11,-27.54649,2022-01-16T07:15:26.325Z,1.77,27.50836,2022-01-12T14:24:05.711Z,,2022-01-18T01:21:53.383Z,5.734687222386306,-10.288744970511251,,,
secret,scrt,Secret,https://assets.coingecko.com/coins/images/11871/large/Secret.png?1595520186,8.99,1444811047,89,,56564499,9.48,8.62,0.05437,0.60814,4840972.0,0.33619,160617597.0,190198234.0,,10.38,-13.38483,2021-10-28T12:44:49.785Z,0.255219,3424.34952,2020-11-03T06:12:33.048Z,,2022-01-18T01:22:05.992Z,1.473468592327003,0.6081377348661543,,,
dash,dash,Dash,https://assets.coingecko.com/coins/images/19/large/dash-logo.png?1548385930,137.13,1444376515,88,,191727769,138.36,133.41,1.22,0.89811,15744968.0,1.1021,10533201.9127107,18920000.0,,1493.59,-90.81911,2017-12-20T00:00:00.000Z,0.213899,64007.30247,2014-02-14T00:00:00.000Z,,2022-01-18T01:22:30.420Z,0.22953079985273095,0.8981143857292311,,,
true-usd,tusd,TrueUSD,https://assets.coingecko.com/coins/images/3449/large/tusd.png?1618395665,1.0,1442033849,90,,96830879,1.01,0.995199,0.00404587,0.40551,3854936.0,0.26804,1439500959.77406,1439500959.77406,,1.62,-38.09981,2018-08-26T20:41:09.375Z,0.88355,13.3906,2020-03-12T10:47:51.380Z,,2022-01-18T01:23:16.119Z,-0.280034389974537,0.4055087540700949,,,
kadena,kda,Kadena,https://assets.coingecko.com/coins/images/3693/large/djLWD6mR_400x400.jpg?1591080616,8.43,1409272020,91,8428875284.0,37488475,8.93,8.04,-0.409924761794,-4.63813,-65921969.28424406,-4.4687,167195737.5655,1000000000.0,1000000000.0,27.64,-69.64363,2021-11-11T13:22:45.731Z,0.065811,12647.3278,2020-03-13T02:00:28.582Z,,2022-01-18T01:23:03.674Z,1.6530353116138676,-4.638128274110521,7.42822583620131,usd,742.822583620131
waves,waves,Waves,https://assets.coingecko.com/coins/images/425/large/waves.png?1548386117,13.97,1396385246,92,,67349436,14.19,13.53,-0.209789833851,-1.47984,-22220652.96784091,-1.56637,100000000.0,100000000.0,,43.01,-67.51598,2021-05-04T06:49:41.528Z,0.130878,10576.06324,2016-08-02T00:00:00.000Z,,2022-01-18T01:22:43.844Z,0.9271689280148746,-1.4798439397400878,73.29092444186809,usd,7329.092444186808
chiliz,chz,Chiliz,https://assets.coingecko.com/coins/images/8834/large/Chiliz.png?1561970540,0.260703,1391682582,93,2314813314.0,101279299,0.267997,0.25306,-0.0072937908,-2.7216,-40910385.12253976,-2.85569,5344064580.0,8888888888.0,8888888888.0,0.878633,-70.3719,2021-03-13T08:04:21.200Z,0.00410887,6235.612,2019-09-28T00:00:00.000Z,,2022-01-18T01:23:04.491Z,0.6328783285648582,-2.7215979148963987,10.850129232135764,usd,1085.0129232135764
celsius-degree-token,cel,Celsius Network,https://assets.coingecko.com/coins/images/3263/large/CEL_logo.png?1609598753,3.11,1317873190,94,,1847627,3.21,3.09,-0.089037315764,-2.78098,-37040541.33633137,-2.73379,423415980.3475,694720929.6871,,8.05,-61.31761,2021-06-04T00:04:12.584Z,0.02620268,11779.59639,2018-12-07T00:00:00.000Z,,2022-01-18T01:23:13.458Z,-0.03828800362780914,-2.7809784270584883,9.375389992044973,usd,937.5389992044974
nexo,nexo,NEXO,https://assets.coingecko.com/coins/images/3695/large/nexo.png?1548086057,2.27,1269752090,95,2267414405.0,6063394,2.35,2.21,-0.065890123454,-2.82387,-34204906.71792531,-2.62316,560000010.0064,1000000000.0,1000000000.0,4.07,-44.26764,2021-05-12T14:37:47.535Z,0.04515276,4921.1239,2018-09-13T00:00:00.000Z,,2022-01-18T01:22:18.254Z,-0.17951442247423702,-2.8238698611103215,21.6743707272582,usd,2167.43707272582
sushi,sushi,Sushi,https://assets.coingecko.com/coins/images/12271/large/512x512_Logo_no_chop.png?1606986688,6.52,1256947603,96,1629950275.0,190319923,6.86,6.33,-0.337462288689,-4.92226,-67766043.48255491,-5.11552,192789255.8554817,239527872.106993,250000000.0,23.38,-72.1095,2021-03-13T23:44:36.774Z,0.475381,1271.49094,2020-11-04T14:53:53.560Z,,2022-01-18T01:22:43.062Z,0.33759019255615713,-4.922264352656631,,,
mina-protocol,mina,Mina Protocol,https://assets.coingecko.com/coins/images/15628/large/JM4_vQ34_400x400.png?1621394004,3.44,1211092785,97,,34997569,3.48,3.32,-0.037817660544,-1.08776,-10802571.747959614,-0.88408,352179821.840039,886369852.840039,,9.09,-62.32078,2021-06-01T01:42:37.064Z,0.925536,270.07437,2021-07-21T02:30:02.124Z,,2022-01-18T01:21:04.026Z,0.4046698434685964,-1.0877566914140901,,,
compound-governance-token,comp,Compound,https://assets.coingecko.com/coins/images/10775/large/COMP.png?1592625425,183.35,1161454712,98,1833428439.0,56209038,189.5,178.13,-5.433746543093,-2.87831,-35333504.584026575,-2.95236,6334878.888722173,10000000.0,10000000.0,910.54,-79.86444,2021-05-12T02:29:08.794Z,61.32,198.98414,2020-06-18T12:54:32.788Z,,2022-01-18T01:23:06.561Z,0.4077766769451558,-2.8783078528938306,,,
frax-share,fxs,Frax Share,https://assets.coingecko.com/coins/images/13423/large/frax_share.png?1608478989,31.95,1138903054,99,3188816863.0,12961744,36.51,31.44,-4.334433297397,-11.94587,-155012539.1354611,-11.98011,35648060.35176793,99811073.1078177,99811073.1078177,42.8,-25.34914,2022-01-12T15:22:27.465Z,1.5,2025.54866,2021-06-25T16:50:51.447Z,,2022-01-18T01:22:11.620Z,-1.0022355985366,-11.945872398026697,,,
yearn-finance,yfi,yearn.finance,https://assets.coingecko.com/coins/images/11849/large/yfi-192x192.png?1598325330,31874.0,1136414125,100,1167405321.0,193687452,33296.0,31284.0,-1329.695668397028,-4.0046,-52440214.07739568,-4.41099,35692.624968711796,36666.0,36666.0,90787.0,-64.89757,2021-05-12T00:29:37.713Z,31.65,100605.52783,2020-07-18T12:26:27.150Z,,2022-01-18T01:23:21.587Z,0.16840494863962258,-4.004602061551294,,,
